Run,batch size,middle layer,learning rate,,,,,,Mean,SD,ln(s^2)
1,-1,-1,-1,97.51,97.43,97.1,96.94,97.64,97.324,0.2620381652,-2.678530235
2,-1,-1,1,91.97,90.63,88.14,91.98,90.34,90.612,1.407173053,0.6831655292
3,-1,1,-1,97.31,97.3,97.33,96.72,97.51,97.234,0.2682237872,-2.63186724
4,-1,1,1,89.71,92.54,92.15,93.19,11.35,75.788,32.24050893,6.946447406
5,1,-1,-1,97.29,97.95,98.17,98.13,97.97,97.902,0.3178930638,-2.29208046
6,1,-1,1,94.73,95.64,96.52,96.53,96.21,95.926,0.6797823181,-0.771965305
7,1,1,-1,98.02,97.89,97.18,97.48,97.66,97.646,0.2981006541,-2.420648168
8,1,1,1,95.48,95.17,96.72,94.26,95.03,95.332,0.8018827845,-0.4415856717
9,-1.68,0,0,89.56,77.59,88.55,88.63,90.86,87.038,4.796946529,3.135959151
10,1.68,0,0,96.71,96.96,97.23,95.87,96.9,96.734,0.4629730014,-1.540173078
11,0,-1.68,0,96.57,95.73,94.62,96.21,97.05,96.036,0.8297373078,-0.3732922498
12,0,1.68,0,97.16,96.38,96.27,96,95.86,96.334,0.452707411,-1.585018508
13,0,0,-1.68,98.55,98.25,98.2,97.95,97.87,98.164,0.2407986711,-2.847588169
14,0,0,1.68,91.19,93.15,93.23,93.72,92.75,92.808,0.8658036729,-0.2881942036
15,0,0,0,95.42,97.09,95.52,95.18,95.28,95.698,0.7056458035,-0.6972837243
16,0,0,0,96.13,96.82,95.19,96.63,95.33,96.02,0.6616947937,-0.8259017321
17,0,0,0,96.51,97.2,95.8,96.38,96.68,96.514,0.4529724053,-1.583848141
18,0,0,0,95.84,96.79,94.79,96.09,96.58,96.018,0.7009536361,-0.7106270675
19,0,0,0,96.66,96.71,96.24,95.97,92.74,95.664,1.487368145,0.7940164255
20,0,0,0,96.34,96.95,96.45,96.67,96.31,96.544,0.2391317628,-2.86148114
